ID OMM station;Date;Température (°C)
7037;2020-01-12T07:00:00+01:00;5.000000
7037;2020-01-13T07:00:00+01:00;4.400000
7037;2020-01-14T07:00:00+01:00;10.100000
7037;2020-01-15T07:00:00+01:00;9.000000
7037;2020-01-01T10:00:00+01:00;0.100000
7037;2020-01-02T10:00:00+01:00;5.000000
7037;2020-01-03T10:00:00+01:00;8.700000
7037;2020-01-04T10:00:00+01:00;2.900000
7037;2020-01-05T10:00:00+01:00;6.000000
7037;2020-01-06T10:00:00+01:00;1.800000
7037;2020-01-07T10:00:00+01:00;6.500000
7037;2020-01-08T10:00:00+01:00;11.000000
7037;2020-01-09T10:00:00+01:00;11.700000
7037;2020-01-10T10:00:00+01:00;6.100000
7037;2020-01-11T10:00:00+01:00;4.600000
7037;2020-01-12T10:00:00+01:00;7.700000
7037;2020-01-13T10:00:00+01:00;6.000000
7037;2020-01-14T10:00:00+01:00;10.300000
7037;2020-01-15T10:00:00+01:00;9.300000
7037;2020-01-01T13:00:00+01:00;2.900000
7037;2020-01-02T13:00:00+01:00;6.900000
7037;2020-01-03T13:00:00+01:00;9.500000
7037;2020-01-04T13:00:00+01:00;6.700000
7037;2020-01-05T13:00:00+01:00;7.100000
7037;2020-01-06T13:00:00+01:00;5.400000
7037;2020-01-07T13:00:00+01:00;8.400000
7037;2020-01-08T13:00:00+01:00;12.500000
7037;2020-01-09T13:00:00+01:00;12.200000
7037;2020-01-10T13:00:00+01:00;6.900000
7037;2020-01-11T13:00:00+01:00;6.900000
7037;2020-01-12T13:00:00+01:00;9.500000
7037;2020-01-13T13:00:00+01:00;7.700000
7037;2020-01-14T13:00:00+01:00;10.800000
7037;2020-01-15T13:00:00+01:00;10.300000
