ID OMM station;Coordonnees;Humidité
7117;48.825832,-3.473167;97
7280;47.267834,5.088333;97
7181;48.581001,5.959833;97
7020;49.725166,-1.939833;97
7481;45.726501,5.077833;97
7314;46.046833,-1.411500;97
7299;47.614334,7.510000;97
7460;45.786835,3.149333;97
7149;48.716831,2.384333;97
7299;47.614334,7.510000;97
7255;47.059166,2.359833;97
7481;45.726501,5.077833;97
7139;48.445499,0.110167;97
7181;48.581001,5.959833;97
7621;43.188000,0.000000;97
7222;47.150002,-1.608833;97
7255;47.059166,2.359833;97
7299;47.614334,7.510000;97
7027;49.180000,-0.456167;97
7299;47.614334,7.510000;97
7037;49.382999,1.181667;97
7181;48.581001,5.959833;97
7481;45.726501,5.077833;97
7280;47.267834,5.088333;97
7015;50.570000,3.097500;97
7335;46.593834,0.314333;97
7168;48.324669,4.020000;97
7481;45.726501,5.077833;97
7535;44.744999,1.396667;97
7607;43.909832,-0.500167;97
7072;49.209667,4.155333;97
7535;44.744999,1.396667;97
7335;46.593834,0.314333;97
7037;49.382999,1.181667;97
7181;48.581001,5.959833;97
7607;43.909832,-0.500167;97
7535;44.744999,1.396667;97
7072;49.209667,4.155333;97
7607;43.909832,-0.500167;96
7558;44.118500,3.019500;96
7181;48.581001,5.959833;96
7510;44.830666,-0.691333;96
7117;48.825832,-3.473167;96
7072;49.209667,4.155333;96
7130;48.068832,-1.734000;96
7335;46.593834,0.314333;96
7207;47.294334,-3.218333;96
7037;49.382999,1.181667;96
7020;49.725166,-1.939833;96
7037;49.382999,1.181667;96
7130;48.068832,-1.734000;96
7149;48.716831,2.384333;96
7110;48.444168,-4.412000;96
7481;45.726501,5.077833;96
7434;45.861168,1.175000;96
7630;43.620998,1.378833;96
7139;48.445499,0.110167;96
7149;48.716831,2.384333;96
7139;48.445499,0.110167;96
7020;49.725166,-1.939833;96
7005;50.136002,1.834000;96
7207;47.294334,-3.218333;96
7207;47.294334,-3.218333;96
7558;44.118500,3.019500;96
7535;44.744999,1.396667;96
7607;43.909832,-0.500167;96
7621;43.188000,0.000000;96
7661;43.079334,5.940833;96
7222;47.150002,-1.608833;96
7005;50.136002,1.834000;96
7314;46.046833,-1.411500;96
7130;48.068832,-1.734000;96
7020;49.725166,-1.939833;96
7607;43.909832,-0.500167;96
7149;48.716831,2.384333;96
7117;48.825832,-3.473167;96
7280;47.267834,5.088333;96
7005;50.136002,1.834000;96
7621;43.188000,0.000000;96
7481;45.726501,5.077833;96
