ID OMM station;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Coordonnees
7020;240;9.300000;49.725166,-1.939833
7020;230;4.000000;49.725166,-1.939833
7020;340;5.700000;49.725166,-1.939833
7020;260;6.800000;49.725166,-1.939833
7020;180;9.400000;49.725166,-1.939833
7020;310;5.100000;49.725166,-1.939833
7020;250;8.900000;49.725166,-1.939833
7020;180;5.000000;49.725166,-1.939833
7020;190;9.900000;49.725166,-1.939833
7020;80;1.300000;49.725166,-1.939833
7020;230;6.000000;49.725166,-1.939833
7020;190;8.600000;49.725166,-1.939833
7020;200;10.300000;49.725166,-1.939833
7020;340;8.300000;49.725166,-1.939833
7020;190;5.200000;49.725166,-1.939833
7020;190;13.800000;49.725166,-1.939833
7020;210;1.400000;49.725166,-1.939833
7020;200;13.000000;49.725166,-1.939833
7020;190;6.100000;49.725166,-1.939833
7020;160;4.400000;49.725166,-1.939833
7020;280;6.800000;49.725166,-1.939833
7020;210;9.000000;49.725166,-1.939833
7020;0;0.000000;49.725166,-1.939833
7020;210;10.000000;49.725166,-1.939833
7020;210;7.300000;49.725166,-1.939833
7020;180;11.700000;49.725166,-1.939833
7020;210;8.600000;49.725166,-1.939833
7020;250;4.700000;49.725166,-1.939833
7020;210;2.800000;49.725166,-1.939833
7020;330;10.100000;49.725166,-1.939833
7020;200;15.900000;49.725166,-1.939833
7027;310;10.600000;49.180000,-0.456167
7027;230;6.100000;49.180000,-0.456167
7027;180;4.700000;49.180000,-0.456167
7027;100;4.200000;49.180000,-0.456167
7027;300;2.600000;49.180000,-0.456167
7027;120;2.900000;49.180000,-0.456167
7027;180;3.500000;49.180000,-0.456167
7027;200;2.600000;49.180000,-0.456167
7027;200;9.900000;49.180000,-0.456167
7027;210;9.900000;49.180000,-0.456167
7027;210;4.800000;49.180000,-0.456167
7027;230;3.100000;49.180000,-0.456167
7027;250;2.700000;49.180000,-0.456167
7027;160;3.400000;49.180000,-0.456167
7027;180;4.500000;49.180000,-0.456167
7027;220;4.700000;49.180000,-0.456167
7027;250;4.400000;49.180000,-0.456167
7027;120;3.800000;49.180000,-0.456167
7027;100;0.900000;49.180000,-0.456167
7027;240;1.600000;49.180000,-0.456167
7027;230;2.900000;49.180000,-0.456167
7027;200;5.800000;49.180000,-0.456167
7027;250;4.200000;49.180000,-0.456167
7027;130;3.800000;49.180000,-0.456167
7027;180;5.900000;49.180000,-0.456167
7027;200;11.000000;49.180000,-0.456167
7027;220;1.200000;49.180000,-0.456167
7027;320;7.000000;49.180000,-0.456167
7027;220;7.100000;49.180000,-0.456167
7027;210;13.600000;49.180000,-0.456167
7027;210;5.700000;49.180000,-0.456167
7027;260;5.300000;49.180000,-0.456167
7027;320;8.000000;49.180000,-0.456167
7027;180;4.100000;49.180000,-0.456167
7027;200;4.800000;49.180000,-0.456167
7027;200;9.000000;49.180000,-0.456167
7027;210;5.600000;49.180000,-0.456167
7027;210;4.100000;49.180000,-0.456167
7027;260;2.100000;49.180000,-0.456167
7027;130;1.800000;49.180000,-0.456167
7027;210;15.200000;49.180000,-0.456167
7027;280;4.500000;49.180000,-0.456167
7027;320;3.900000;49.180000,-0.456167
7027;230;2.500000;49.180000,-0.456167
7027;200;8.300000;49.180000,-0.456167
7027;190;8.700000;49.180000,-0.456167
7027;140;3.200000;49.180000,-0.456167
7027;200;6.100000;49.180000,-0.456167
7027;220;6.300000;49.180000,-0.456167
7027;240;3.700000;49.180000,-0.456167
7027;150;5.200000;49.180000,-0.456167
7027;200;7.200000;49.180000,-0.456167
7027;190;6.300000;49.180000,-0.456167
7027;200;10.100000;49.180000,-0.456167
7027;250;2.000000;49.180000,-0.456167
7027;240;6.300000;49.180000,-0.456167
7027;170;2.900000;49.180000,-0.456167
7027;150;3.700000;49.180000,-0.456167
7027;200;5.500000;49.180000,-0.456167
7027;260;2.800000;49.180000,-0.456167
7027;220;9.200000;49.180000,-0.456167
7027;80;2.000000;49.180000,-0.456167
7027;170;3.000000;49.180000,-0.456167
7027;310;4.000000;49.180000,-0.456167
7027;200;8.000000;49.180000,-0.456167
7027;320;5.500000;49.180000,-0.456167
7027;260;4.200000;49.180000,-0.456167
7027;230;7.200000;49.180000,-0.456167
7027;190;4.300000;49.180000,-0.456167
7027;190;3.200000;49.180000,-0.456167
7027;180;2.600000;49.180000,-0.456167
7027;200;2.700000;49.180000,-0.456167
7027;240;3.400000;49.180000,-0.456167
7027;250;7.200000;49.180000,-0.456167
7027;220;3.700000;49.180000,-0.456167
7027;210;4.400000;49.180000,-0.456167
7027;230;3.200000;49.180000,-0.456167
7027;170;3.900000;49.180000,-0.456167
7027;210;3.800000;49.180000,-0.456167
7027;190;10.500000;49.180000,-0.456167
7027;190;11.800000;49.180000,-0.456167
7027;210;5.800000;49.180000,-0.456167
7027;160;4.200000;49.180000,-0.456167
7027;220;2.800000;49.180000,-0.456167
7027;200;5.800000;49.180000,-0.456167
7027;190;8.800000;49.180000,-0.456167
7027;250;4.300000;49.180000,-0.456167
7027;170;2.700000;49.180000,-0.456167
7027;210;8.600000;49.180000,-0.456167
7027;230;7.600000;49.180000,-0.456167
7027;210;3.300000;49.180000,-0.456167
7027;270;2.900000;49.180000,-0.456167
7027;210;5.400000;49.180000,-0.456167
7027;220;6.000000;49.180000,-0.456167
7027;190;2.300000;49.180000,-0.456167
7027;180;10.400000;49.180000,-0.456167
7027;180;10.700000;49.180000,-0.456167
7027;130;5.600000;49.180000,-0.456167
7027;130;2.500000;49.180000,-0.456167
7027;280;4.000000;49.180000,-0.456167
7027;100;1.100000;49.180000,-0.456167
7027;230;10.200000;49.180000,-0.456167
7027;230;6.500000;49.180000,-0.456167
7027;210;13.000000;49.180000,-0.456167
7027;210;6.000000;49.180000,-0.456167
7027;270;7.000000;49.180000,-0.456167
7027;330;4.800000;49.180000,-0.456167
7027;210;6.400000;49.180000,-0.456167
7027;210;1.600000;49.180000,-0.456167
7027;130;3.400000;49.180000,-0.456167
7027;210;9.100000;49.180000,-0.456167
7027;180;3.700000;49.180000,-0.456167
7027;210;8.400000;49.180000,-0.456167
7027;270;3.300000;49.180000,-0.456167
7027;180;4.700000;49.180000,-0.456167
7027;280;0.800000;49.180000,-0.456167
7027;210;12.000000;49.180000,-0.456167
7027;240;8.400000;49.180000,-0.456167
7027;220;5.200000;49.180000,-0.456167
7027;210;3.100000;49.180000,-0.456167
7037;210;6.300000;49.382999,1.181667
7037;200;7.700000;49.382999,1.181667
7037;240;6.600000;49.382999,1.181667
7037;180;2.300000;49.382999,1.181667
