Date;Pression station
2020-01-04T13:00:00+01:00;100890
2020-01-04T13:00:00+01:00;101960
2020-01-04T13:00:00+01:00;103430
2020-01-04T13:00:00+01:00;102280
2020-01-04T13:00:00+01:00;101720
2020-01-04T13:00:00+01:00;94800
2020-01-04T13:00:00+01:00;102300
2020-01-04T13:00:00+01:00;101520
2020-01-04T13:00:00+01:00;102350
2020-01-04T13:00:00+01:00;102180
2020-01-04T13:00:00+01:00;102420
2020-01-04T13:00:00+01:00;93490
2020-01-04T13:00:00+01:00;98770
2020-01-04T13:00:00+01:00;102630
2020-01-04T13:00:00+01:00;101740
2020-01-04T13:00:00+01:00;92480
2020-01-04T13:00:00+01:00;102730
2020-01-04T13:00:00+01:00;103600
2020-01-04T13:00:00+01:00;102330
2020-01-04T13:00:00+01:00;100420
2020-01-04T16:00:00+01:00;102490
2020-01-04T16:00:00+01:00;103360
2020-01-04T16:00:00+01:00;100390
2020-01-04T16:00:00+01:00;100790
2020-01-04T16:00:00+01:00;103550
2020-01-04T16:00:00+01:00;103520
2020-01-04T16:00:00+01:00;102150
2020-01-04T16:00:00+01:00;103090
2020-01-04T16:00:00+01:00;102160
2020-01-04T16:00:00+01:00;92380
2020-01-04T16:00:00+01:00;101540
2020-01-04T16:00:00+01:00;100100
2020-01-04T16:00:00+01:00;103490
2020-01-04T16:00:00+01:00;102220
2020-01-04T16:00:00+01:00;102790
2020-01-04T16:00:00+01:00;98540
2020-01-04T16:00:00+01:00;102530
2020-01-04T16:00:00+01:00;99610
2020-01-04T16:00:00+01:00;101730
2020-01-04T16:00:00+01:00;102120
2020-01-04T16:00:00+01:00;103100
2020-01-04T16:00:00+01:00;102910
2020-01-04T16:00:00+01:00;103350
2020-01-04T16:00:00+01:00;99150
2020-01-04T16:00:00+01:00;102770
2020-01-04T16:00:00+01:00;102250
2020-01-04T16:00:00+01:00;101750
2020-01-04T16:00:00+01:00;101960
2020-01-04T16:00:00+01:00;100510
2020-01-04T16:00:00+01:00;102630
2020-01-04T16:00:00+01:00;102580
2020-01-04T16:00:00+01:00;102890
2020-01-04T16:00:00+01:00;101680
2020-01-04T16:00:00+01:00;98740
2020-01-04T16:00:00+01:00;102390
2020-01-04T16:00:00+01:00;102180
2020-01-04T16:00:00+01:00;102310
2020-01-04T16:00:00+01:00;102260
2020-01-04T16:00:00+01:00;93510
2020-01-04T16:00:00+01:00;99270
2020-01-04T16:00:00+01:00;100780
2020-01-04T16:00:00+01:00;94730
2020-01-04T19:00:00+01:00;103190
2020-01-04T19:00:00+01:00;99250
2020-01-04T19:00:00+01:00;102320
2020-01-04T19:00:00+01:00;100280
2020-01-04T19:00:00+01:00;102380
2020-01-04T19:00:00+01:00;102270
2020-01-04T19:00:00+01:00;102710
2020-01-04T19:00:00+01:00;101780
2020-01-04T19:00:00+01:00;101780
2020-01-04T19:00:00+01:00;94820
2020-01-04T19:00:00+01:00;102370
2020-01-04T19:00:00+01:00;98810
2020-01-04T19:00:00+01:00;102570
2020-01-04T19:00:00+01:00;103620
2020-01-04T19:00:00+01:00;102000
2020-01-04T19:00:00+01:00;99360
2020-01-04T19:00:00+01:00;103450
2020-01-04T19:00:00+01:00;92490
2020-01-04T19:00:00+01:00;102070
2020-01-04T19:00:00+01:00;100600
2020-01-04T19:00:00+01:00;102690
2020-01-04T19:00:00+01:00;103150
2020-01-04T19:00:00+01:00;101610
2020-01-04T19:00:00+01:00;101820
2020-01-04T19:00:00+01:00;100470
2020-01-04T19:00:00+01:00;102250
2020-01-04T19:00:00+01:00;102540
2020-01-04T19:00:00+01:00;100890
2020-01-04T19:00:00+01:00;102180
2020-01-04T19:00:00+01:00;103580
2020-01-04T19:00:00+01:00;102870
2020-01-04T19:00:00+01:00;102940
2020-01-04T19:00:00+01:00;99740
2020-01-04T19:00:00+01:00;98630
2020-01-04T19:00:00+01:00;102910
2020-01-04T19:00:00+01:00;103440
2020-01-04T19:00:00+01:00;93630
2020-01-04T19:00:00+01:00;102230
2020-01-04T19:00:00+01:00;103620
2020-01-04T19:00:00+01:00;103010
2020-01-04T19:00:00+01:00;100770
2020-01-04T19:00:00+01:00;102460
2020-01-04T22:00:00+01:00;102720
2020-01-04T22:00:00+01:00;102980
2020-01-04T22:00:00+01:00;100320
2020-01-04T22:00:00+01:00;102330
2020-01-04T22:00:00+01:00;100460
2020-01-04T22:00:00+01:00;92520
2020-01-04T22:00:00+01:00;102500
2020-01-04T22:00:00+01:00;102020
2020-01-04T22:00:00+01:00;100900
2020-01-04T22:00:00+01:00;103600
2020-01-04T22:00:00+01:00;103560
2020-01-04T22:00:00+01:00;102370
2020-01-04T22:00:00+01:00;100750
2020-01-04T22:00:00+01:00;102200
2020-01-04T22:00:00+01:00;102250
2020-01-04T22:00:00+01:00;94840
2020-01-04T22:00:00+01:00;99260
2020-01-04T22:00:00+01:00;98650
2020-01-04T22:00:00+01:00;102450
2020-01-04T22:00:00+01:00;102380
2020-01-04T22:00:00+01:00;102960
2020-01-04T22:00:00+01:00;101770
2020-01-04T22:00:00+01:00;99790
2020-01-04T22:00:00+01:00;102470
2020-01-04T22:00:00+01:00;103620
2020-01-04T22:00:00+01:00;102610
2020-01-04T22:00:00+01:00;102880
2020-01-04T22:00:00+01:00;102050
2020-01-04T22:00:00+01:00;103420
2020-01-04T22:00:00+01:00;98820
2020-01-04T22:00:00+01:00;103220
2020-01-04T22:00:00+01:00;93680
2020-01-04T22:00:00+01:00;103130
2020-01-04T22:00:00+01:00;99420
2020-01-04T22:00:00+01:00;102210
2020-01-04T22:00:00+01:00;102670
2020-01-04T22:00:00+01:00;101750
2020-01-04T22:00:00+01:00;100670
2020-01-04T22:00:00+01:00;101810
2020-01-04T22:00:00+01:00;103390
2020-01-04T22:00:00+01:00;103010
2020-01-04T22:00:00+01:00;101810
2020-01-05T01:00:00+01:00;101760
2020-01-05T01:00:00+01:00;100640
2020-01-05T01:00:00+01:00;103140
2020-01-05T01:00:00+01:00;102800
2020-01-05T01:00:00+01:00;99750
2020-01-05T01:00:00+01:00;101960
2020-01-05T01:00:00+01:00;102650
2020-01-05T01:00:00+01:00;102970
2020-01-05T01:00:00+01:00;101770
2020-01-05T01:00:00+01:00;102510
2020-01-05T01:00:00+01:00;99200
2020-01-05T01:00:00+01:00;102350
2020-01-05T01:00:00+01:00;98770
2020-01-05T01:00:00+01:00;92510
2020-01-05T01:00:00+01:00;103550
2020-01-05T01:00:00+01:00;100930
2020-01-05T01:00:00+01:00;102490
2020-01-05T01:00:00+01:00;103590
2020-01-05T01:00:00+01:00;100400
2020-01-05T01:00:00+01:00;103100
2020-01-05T01:00:00+01:00;103570
2020-01-05T01:00:00+01:00;93630
2020-01-05T01:00:00+01:00;94780
2020-01-05T01:00:00+01:00;98610
2020-01-05T01:00:00+01:00;102940
2020-01-05T01:00:00+01:00;101850
2020-01-05T01:00:00+01:00;102020
2020-01-05T01:00:00+01:00;102270
2020-01-05T01:00:00+01:00;102100
2020-01-05T01:00:00+01:00;100340
2020-01-05T01:00:00+01:00;103030
2020-01-05T01:00:00+01:00;101790
2020-01-05T01:00:00+01:00;102780
2020-01-05T01:00:00+01:00;103400
2020-01-05T01:00:00+01:00;102170
2020-01-05T01:00:00+01:00;103370
