ID OMM station;Date;Pression au niveau mer;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Humidité;Pression station;Variation de pression en 24 heures;Précipitations dans les 24 dernières heures;Coordonnees;Température (°C);Température minimale sur 24 heures (°C);Température maximale sur 24 heures (°C);Altitude;communes (code)
7471;2020-01-06T22:00:00+01:00;0;30;1.200000;84;93140;0;0;45.074501,3.764000;0.400000;0;0;833;0
7471;2020-01-04T16:00:00+01:00;0;330;4.200000;75;93510;0;0;45.074501,3.764000;4.500000;0;0;833;0
7471;2020-01-06T01:00:00+01:00;0;220;1.900000;95;93270;0;0;45.074501,3.764000;-2.500000;0;0;833;0
7471;2020-01-05T10:00:00+01:00;0;310;1.500000;78;93600;0;0;45.074501,3.764000;1.000000;0;0;833;0
7471;2020-01-06T10:00:00+01:00;0;0;0.000000;89;93090;0;0;45.074501,3.764000;0.000000;0;0;833;0
7471;2020-01-05T22:00:00+01:00;0;220;1.300000;93;93380;0;0;45.074501,3.764000;-2.200000;0;0;833;0
7471;2020-01-14T07:00:00+01:00;0;180;1.100000;86;92200;0;0;45.074501,3.764000;0.900000;0;0;833;0
7471;2020-01-04T19:00:00+01:00;0;310;1.600000;88;93630;0;0;45.074501,3.764000;0.700000;0;0;833;0
7471;2020-01-01T16:00:00+01:00;0;130;0.900000;53;93220;0;0;45.074501,3.764000;7.700000;0;0;833;0
7471;2020-01-14T10:00:00+01:00;0;160;5.200000;78;92270;0;0;45.074501,3.764000;6.300000;0;0;833;0
7471;2020-01-12T22:00:00+01:00;0;190;0.600000;77;93060;0;0;45.074501,3.764000;-1.500000;0;0;833;0
7471;2020-01-09T10:00:00+01:00;0;310;1.300000;100;92760;0;0;45.074501,3.764000;3.700000;0;0;833;0
7471;2020-01-08T22:00:00+01:00;0;220;1.700000;97;93200;0;0;45.074501,3.764000;3.100000;0;0;833;0
7471;2020-01-11T19:00:00+01:00;0;300;0.800000;85;93250;0;0;45.074501,3.764000;1.000000;0;0;833;0
